id,company_id,year_raw,operating_activity,investing_activity,financing_activity,net_cash_flow,year
209,BAJAJ-AUTO,Mar 2014,3502.0,-2072.0,-1496.0,-66.0,Mar 2014
221,BAJAJ-AUTO,Mar 2014,3502.0,-2072.0,-1496.0,-66.0,Mar 2014
210,BAJAJ-AUTO,Mar 2015,2114.0,-380.0,-1644.0,90.0,Mar 2015
222,BAJAJ-AUTO,Mar 2015,2114.0,-380.0,-1644.0,90.0,Mar 2015
211,BAJAJ-AUTO,Mar 2016,3690.0,-68.0,-3384.0,238.0,Mar 2016
223,BAJAJ-AUTO,Mar 2016,3690.0,-68.0,-3384.0,238.0,Mar 2016
212,BAJAJ-AUTO,Mar 2017,3267.0,-3610.0,-190.0,-532.0,Mar 2017
224,BAJAJ-AUTO,Mar 2017,3267.0,-3610.0,-190.0,-532.0,Mar 2017
213,BAJAJ-AUTO,Mar 2018,4328.0,-1954.0,-1885.0,488.0,Mar 2018
225,BAJAJ-AUTO,Mar 2018,4328.0,-1954.0,-1885.0,488.0,Mar 2018
214,BAJAJ-AUTO,Mar 2019,2487.0,-273.0,-2074.0,140.0,Mar 2019
226,BAJAJ-AUTO,Mar 2019,2487.0,-273.0,-2074.0,140.0,Mar 2019
215,BAJAJ-AUTO,Mar 2020,3850.0,1766.0,-6247.0,-630.0,Mar 2020
227,BAJAJ-AUTO,Mar 2020,3850.0,1766.0,-6247.0,-630.0,Mar 2020
216,BAJAJ-AUTO,Mar 2021,3120.0,-2869.0,-20.0,231.0,Mar 2021
228,BAJAJ-AUTO,Mar 2021,3120.0,-2869.0,-20.0,231.0,Mar 2021
217,BAJAJ-AUTO,Mar 2022,4197.0,276.0,-4056.0,417.0,Mar 2022
229,BAJAJ-AUTO,Mar 2022,4197.0,276.0,-4056.0,417.0,Mar 2022
218,BAJAJ-AUTO,Mar 2023,5277.0,1211.0,-7181.0,-692.0,Mar 2023
230,BAJAJ-AUTO,Mar 2023,5277.0,1211.0,-7181.0,-692.0,Mar 2023
219,BAJAJ-AUTO,Mar 2024,6558.0,-72.0,-6167.0,319.0,Mar 2024
231,BAJAJ-AUTO,Mar 2024,6558.0,-72.0,-6167.0,319.0,Mar 2024
37,TCS,Mar-13,11615.0,-6038.0,-5729.0,-152.0,Mar 2013
1098,TCS,Mar 2013,11615.0,-6038.0,-5729.0,-152.0,Mar 2013
38,TCS,Mar-14,14751.0,-9452.0,-5673.0,-374.0,Mar 2014
1099,TCS,Mar 2014,14751.0,-9452.0,-5673.0,-374.0,Mar 2014
39,TCS,Mar-15,19369.0,-1807.0,-17168.0,394.0,Mar 2015
1100,TCS,Mar 2015,19369.0,-1807.0,-17168.0,394.0,Mar 2015
40,TCS,Mar-16,19109.0,-5010.0,-9666.0,4433.0,Mar 2016
1101,TCS,Mar 2016,19109.0,-5010.0,-9666.0,4433.0,Mar 2016
41,TCS,Mar-17,25223.0,-16895.0,-11026.0,-2698.0,Mar 2017
1102,TCS,Mar 2017,25223.0,-16895.0,-11026.0,-2698.0,Mar 2017
42,TCS,Mar-18,25067.0,3104.0,-26885.0,1286.0,Mar 2018
1103,TCS,Mar 2018,25067.0,3104.0,-26885.0,1286.0,Mar 2018
43,TCS,Mar-19,28593.0,1645.0,-27897.0,2341.0,Mar 2019
1104,TCS,Mar 2019,28593.0,1645.0,-27897.0,2341.0,Mar 2019
44,TCS,Mar-20,32369.0,8968.0,-39915.0,1422.0,Mar 2020
1105,TCS,Mar 2020,32369.0,8968.0,-39915.0,1422.0,Mar 2020
45,TCS,Mar-21,38802.0,-7956.0,-32634.0,-1788.0,Mar 2021
1106,TCS,Mar 2021,38802.0,-7956.0,-32634.0,-1788.0,Mar 2021
46,TCS,Mar-22,39949.0,-738.0,-33581.0,5630.0,Mar 2022
1107,TCS,Mar 2022,39949.0,-738.0,-33581.0,5630.0,Mar 2022
47,TCS,Mar-23,41965.0,548.0,-47878.0,-5365.0,Mar 2023
1108,TCS,Mar 2023,41965.0,548.0,-47878.0,-5365.0,Mar 2023
48,TCS,Mar-24,44338.0,6091.0,-48536.0,1893.0,Mar 2024
1109,TCS,Mar 2024,44338.0,6091.0,-48536.0,1893.0,Mar 2024
